eta2,epsilon2,omega2,N
0.005850648,-0.003421939,-0.004218667,60
0.009769337,0.000546565,-0.000257286,60
0.009295681,6.69E-05,-0.000737159,60
0.008699583,-0.000536788,-0.001339063,60
0.008334491,-0.000906521,-0.001707678,60
0.00722809,-0.002026987,-0.002826476,60
0.008818359,-0.000416503,-0.001218877,60
0.008529111,-0.000709427,-0.00151019,60
0.007940509,-0.001305511,-0.002105982,60
0.009834325,0.000612379,-0.000192137,60
0.009171266,-5.91E-05,-0.000862363,60
0.007970446,-0.001275194,-0.002075581,60
0.010766602,0.001556506,0.000750549,60
0.008555973,-0.000682224,-0.001483974,60
0.00875549,-0.00048017,-0.001282569,60
0.011318994,0.00211592,0.001307909,60
0.009961145,0.00074081,-6.31E-05,60
0.007957889,-0.001287911,-0.002088817,60
0.006870724,-0.002388895,-0.003186601,60
0.009330015,0.000101658,-0.000700356,60
0.008415159,-0.000824828,-0.001627036,60
0.009804265,0.000581936,-0.00022198,60
0.009079179,-0.000152366,-0.000955053,60
0.006234053,-0.00303366,-0.003831327,60
0.005233389,-0.004047044,-0.004842977,60
0.009394065,0.000166522,-0.000636348,60
0.010130664,0.000912484,0.000108056,60
0.009387594,0.000159968,-0.000643645,60
0.008314723,-0.00092654,-0.001727163,60
0.009322064,9.36E-05,-0.000710293,60
0.010239859,0.001023068,0.00021825,60
0.008546465,-0.000691852,-0.001493115,60
0.008238345,-0.001003889,-0.001804931,60
0.008503107,-0.000735761,-0.001537222,60
0.009387086,0.000159455,-0.000643833,60
0.009654478,0.000430245,-0.000373548,60
0.010851981,0.00164297,0.000837464,60
0.007997419,-0.001247878,-0.002048246,60
0.009012134,-0.000220264,-0.0010231,60
0.009510195,0.000284129,-0.000520219,60
0.007741353,-0.001507199,-0.002307127,60
0.007088515,-0.002168335,-0.002967055,60
0.008959518,-0.000273548,-0.001076352,60
0.008750416,-0.000485309,-0.00128694,60
0.008149356,-0.00109401,-0.001895434,60
0.012577541,0.003390466,0.002580939,60
0.008847501,-0.00038699,-0.00118983,60
0.009500891,0.000274705,-0.000528766,60
0.008970544,-0.000262382,-0.001065358,60
0.007876683,-0.001370149,-0.002170699,60
0.009481222,0.000254787,-0.00054888,60
0.006461264,-0.00280356,-0.003600865,60
0.009726934,0.000503622,-0.000299648,60
0.008742463,-0.000493363,-0.001295709,60
0.007491048,-0.001760686,-0.002559892,60
0.007211392,-0.002043896,-0.002843054,60
0.006844465,-0.002415488,-0.003214326,60
0.008903293,-0.000330488,-0.001133275,60
0.008802251,-0.000432815,-0.001235161,60
0.009007302,-0.000225158,-0.001027344,60
0.006548883,-0.002714828,-0.00351196,60
0.007317148,-0.001936796,-0.002736308,60
0.006390251,-0.002875476,-0.003673073,60
0.006268317,-0.002998961,-0.003796445,60
0.010001535,0.000781714,-2.23E-05,60
0.008175538,-0.001067495,-0.001868924,60
0.006993167,-0.002264896,-0.003063854,60
0.009775724,0.000553033,-0.000250893,60
0.008407243,-0.000832845,-0.00163413,60
0.008975582,-0.000257281,-0.001059326,60
0.009272615,4.35E-05,-0.000759346,60
0.011287954,0.002084486,0.001276795,60
0.007776125,-0.001471985,-0.002272157,60
0.010589695,0.00137735,0.000571189,60
0.008513368,-0.00072537,-0.001527115,60
0.009189879,-4.03E-05,-0.000843297,60
0.006754209,-0.002506891,-0.003304778,60
0.008817932,-0.000416935,-0.00121899,60
0.008583261,-0.000654589,-0.001457254,60
