N,eta2,epsilon2,omega2
70,0.043607175,0.044081166,0.044007324
80,0.038752852,0.039120759,0.039063368
90,0.038101267,0.038422345,0.038372825
100,0.036614031,0.036891411,0.036847918
10,0.111008599,0.120259315,0.118852913
20,0.078509828,0.081608901,0.081133621
30,0.064182225,0.06584211,0.065590484
40,0.054019724,0.055058565,0.054896702
50,0.049013048,0.049763248,0.049646928
60,0.043853972,0.044411438,0.044323531
70,0.041669992,0.042122926,0.042050925
80,0.039884833,0.040263486,0.040205138
90,0.036755061,0.037064794,0.03701721
100,0.034964458,0.03522934,0.035188604
10,0.110832932,0.120069009,0.118659096
20,0.079462121,0.082598783,0.082110819
30,0.065903765,0.067608173,0.067349247
40,0.05587583,0.056950365,0.056781996
50,0.051573155,0.05236254,0.052237989
60,0.043078853,0.043626465,0.043541138
70,0.04281964,0.043285071,0.043212875
80,0.040696031,0.041082385,0.041021758
90,0.037021801,0.037333783,0.037285641
100,0.035703337,0.035973817,0.035932073
10,0.106826732,0.11572896,0.114269389
20,0.078452703,0.08154952,0.081078391
30,0.065084579,0.066767801,0.066511259
40,0.055237179,0.056299433,0.056134708
50,0.050387284,0.051158518,0.051038688
60,0.046769225,0.047363749,0.047271215
70,0.041868005,0.042323092,0.042251224
80,0.041064755,0.04145461,0.041393694
90,0.035956209,0.036259211,0.036212129
100,0.034601123,0.034863253,0.034822268
10,0.112827342,0.12222962,0.120785543
20,0.078211088,0.081298367,0.080833265
30,0.061573793,0.063166219,0.06291726
40,0.053508044,0.054537045,0.054377319
50,0.051379864,0.05216629,0.05204593
60,0.046530109,0.047121594,0.047030573
70,0.043684353,0.044159183,0.044084379
80,0.038594837,0.038961244,0.038903568
90,0.03717683,0.037490118,0.037440606
100,0.034128642,0.034387192,0.034346626
10,0.10950833,0.118634024,0.117273164
20,0.078268504,0.08135805,0.080884652
30,0.064874266,0.066552049,0.066286748
40,0.057529742,0.058636083,0.058463701
50,0.050569646,0.051343671,0.051224604
