CUE,QSS,QCON,KF1,HAL1,LogHAL1,Subtlex1,LogSub1,Length1,POS1,Ortho1,Phono1,Phonemes1,Syllables1,Morphemes1
bother,18,,22,20419,9.92,67.37,3.54,6,VB|NN|minor,4,8,4,2,1
bottle,20,6.94,76,18633,9.83,50.75,3.41,6,NN|VB,4,16,4,2,1
bottle,5,,0,,,,,5,N,,,,,
bounce,15,3.78,8,4232,8.35,9.84,2.7,6,VB|NN,2,3,4,1,1
bouquet,3,5.62,4,597,6.39,3.22,2.22,7,NN,0,1,4,2,1
bow,12,5.78,15,7503,8.92,20.27,3.01,3,NN,23,58,2,1,1
bowels,,,1,767,6.64,1.71,1.94,6,NN,5,4,5,1,2
bowl,22,5.26,23,10720,9.28,21.45,3.04,4,NN|VB,10,49,3,1,1
box,15,5.91,70,171530,12.05,89.75,3.66,3,NN|VB,16,40,4,1,1
boxer,14,,1,1744,7.46,3.84,2.29,5,NN,6,2,5,2,2
boy,10,6.23,242,42823,10.66,529.82,4.43,3,NN,20,27,2,1,1
boyfriend,12,5.88,,4682,8.45,72.24,3.57,9,NN,0,1,7,2,2
boys,9,6.93,143,23926,10.08,224.16,4.06,4,NN,15,27,3,1,2
bra,15,6.25,,3728,8.22,10.92,2.75,3,NN,8,8,3,1,1
bracelet,13,5.98,1,443,6.09,7.8,2.6,8,NN,0,0,7,2,2
brain,17,5.32,45,54113,10.9,77.02,3.59,5,NN,7,28,4,1,1
branch,11,6.06,33,13544,9.51,10.08,2.71,6,NN|VB,2,4,5,1,1
brave,15,2.76,24,5524,8.62,31.71,3.21,5,JJ,7,14,4,1,1
bravery,16,1.93,4,455,6.12,2.88,2.17,7,NN,1,0,7,3,2
bread,15,6.18,41,9063,9.11,28.33,3.16,5,NN,6,19,4,1,1
break,26,3.52,88,47766,10.77,221.08,4.05,5,VB|NN,6,21,4,1,1
breakfast,10,5.88,53,7624,8.94,66.29,3.53,9,NN|VB,0,0,8,2,2
breathe,16,4.78,7,3117,8.04,48.51,3.39,7,VB,3,7,4,1,1
brick,14,5.97,18,3969,8.29,10.18,2.72,5,NN,8,23,4,1,1
bride,4,5.74,33,3676,8.21,24.22,3.09,5,NN,4,22,4,1,1
bridge,10,6.36,98,19356,9.87,45.71,3.37,6,NN|VB,2,9,4,1,1
brigade,,,3,4194,8.34,3.2,2.21,7,NN,0,0,6,2,1
bright,16,4.55,87,13726,9.53,44.41,3.36,6,JJ|NN,4,16,4,1,1
brilliant,13,3.33,50,7731,8.95,35.8,3.26,9,JJ,0,1,8,2,2
britain,,,55,13200,9.49,4.55,2.37,7,NN,0,2,5,2,2
broccoli,13,,1,915,6.82,2.27,2.07,8,NN,0,0,7,3,1
broken,22,3.74,63,25599,10.15,71.25,3.56,6,VB|JJ,1,2,6,2,2
bronco,,,,1439,7.27,1.41,1.86,6,NN,1,3,6,2,1
broom,11,6.09,2,600,6.4,4.76,2.39,5,NN,4,15,4,1,1
brother,10,5.91,73,23702,10.07,283.94,4.16,7,NN,1,1,5,2,1
brothers,,,41,18042,9.8,47.06,3.38,8,NN,1,1,6,2,2
brown,20,4.63,176,42129,10.65,60.12,3.49,5,JJ|NN|VB,8,14,4,1,1
browse,,,,7016,8.86,0.59,1.49,6,VB,2,13,4,1,1
brush,6,5.66,44,5701,8.65,14.16,2.86,5,NN|VB,3,4,4,1,1
